title,slug,country,category,nco2004_3d,nco2015_3d,employment_workers,worker_share,median_monthly_earnings_inr,median_annual_earnings_inr,plfs_pay_confidence,employment_confidence,vacancies_90d,demand_index,demand_confidence,education_mix_json,rural_urban_split_json,sources_json,description_source,postings_source,url
Directors and Chief Executives,121-directors-and-chief-executives,India,management,121,112,900000,0.20,145000,1740000,approximation,approximation,900,34,approximation,"{""Below secondary"": 2, ""Diploma/Certificate"": 12, ""Graduate"": 54, ""Postgraduate+"": 22, ""Secondary"": 10}","{""rural"": 18, ""urban"": 82}","[{""name"": ""NCO 2004 group title"", ""type"": ""official-taxonomy"", ""status"": ""seeded""}, {""name"": ""PLFS 2023-24 aggregate placeholder"", ""type"": ""official-labour-stats"", ""status"": ""approximation""}, {""name"": ""NCS vacancy proxy placeholder"", ""type"": ""demand-proxy"", ""status"": ""approximation""}]",seed-demo,seed-demo,https://www.ncs.gov.in/Pages/Search.aspx
Other Department Managers,123-other-department-managers,India,management,123,132,2600000,0.59,78000,936000,approximation,approximation,2100,48,approximation,"{""Below secondary"": 2, ""Diploma/Certificate"": 12, ""Graduate"": 54, ""Postgraduate+"": 22, ""Secondary"": 10}","{""rural"": 18, ""urban"": 82}","[{""name"": ""NCO 2004 group title"", ""type"": ""official-taxonomy"", ""status"": ""seeded""}, {""name"": ""PLFS 2023-24 aggregate placeholder"", ""type"": ""official-labour-stats"", ""status"": ""approximation""}, {""name"": ""NCS vacancy proxy placeholder"", ""type"": ""demand-proxy"", ""status"": ""approximation""}]",seed-demo,seed-demo,https://www.ncs.gov.in/Pages/Search.aspx
Computing Professionals,213-computing-professionals,India,digital,213,251,5200000,1.18,58000,696000,approximation,approximation,18500,89,approximation,"{""Below secondary"": 2, ""Diploma/Certificate"": 12, ""Graduate"": 54, ""Postgraduate+"": 22, ""Secondary"": 10}","{""rural"": 18, ""urban"": 82}","[{""name"": ""NCO 2004 group title"", ""type"": ""official-taxonomy"", ""status"": ""seeded""}, {""name"": ""PLFS 2023-24 aggregate placeholder"", ""type"": ""official-labour-stats"", ""status"": ""approximation""}, {""name"": ""NCS vacancy proxy placeholder"", ""type"": ""demand-proxy"", ""status"": ""approximation""}]",seed-demo,seed-demo,https://www.ncs.gov.in/Pages/Search.aspx
"Architects, Engineers and Related Professionals",214-architects-engineers-and-related-professionals,India,engineering,214,214,7400000,1.68,52000,624000,approximation,approximation,9600,71,approximation,"{""Below secondary"": 2, ""Diploma/Certificate"": 12, ""Graduate"": 54, ""Postgraduate+"": 22, ""Secondary"": 10}","{""rural"": 18, ""urban"": 82}","[{""name"": ""NCO 2004 group title"", ""type"": ""official-taxonomy"", ""status"": ""seeded""}, {""name"": ""PLFS 2023-24 aggregate placeholder"", ""type"": ""official-labour-stats"", ""status"": ""approximation""}, {""name"": ""NCS vacancy proxy placeholder"", ""type"": ""demand-proxy"", ""status"": ""approximation""}]",seed-demo,seed-demo,https://www.ncs.gov.in/Pages/Search.aspx
Health Professionals (except nursing),222-health-professionals-except-nursing,India,healthcare,222,221,2100000,0.48,68000,816000,approximation,approximation,6200,65,approximation,"{""Below secondary"": 1, ""Diploma/Certificate"": 28, ""Graduate"": 42, ""Postgraduate+"": 15, ""Secondary"": 14}","{""rural"": 56, ""urban"": 44}","[{""name"": ""NCO 2004 group title"", ""type"": ""official-taxonomy"", ""status"": ""seeded""}, {""name"": ""PLFS 2023-24 aggregate placeholder"", ""type"": ""official-labour-stats"", ""status"": ""approximation""}, {""name"": ""NCS vacancy proxy placeholder"", ""type"": ""demand-proxy"", ""status"": ""approximation""}]",seed-demo,seed-demo,https://www.ncs.gov.in/Pages/Search.aspx
Nursing Professionals,223-nursing-professionals,India,healthcare,223,222,3400000,0.77,32000,384000,approximation,approximation,7400,59,approximation,"{""Below secondary"": 1, ""Diploma/Certificate"": 28, ""Graduate"": 42, ""Postgraduate+"": 15, ""Secondary"": 14}","{""rural"": 56, ""urban"": 44}","[{""name"": ""NCO 2004 group title"", ""type"": ""official-taxonomy"", ""status"": ""seeded""}, {""name"": ""PLFS 2023-24 aggregate placeholder"", ""type"": ""official-labour-stats"", ""status"": ""approximation""}, {""name"": ""NCS vacancy proxy placeholder"", ""type"": ""demand-proxy"", ""status"": ""approximation""}]",seed-demo,seed-demo,https://www.ncs.gov.in/Pages/Search.aspx
Other Teaching Professionals,233-other-teaching-professionals,India,education,233,235,9100000,2.06,27000,324000,approximation,approximation,5100,47,approximation,"{""Below secondary"": 4, ""Diploma/Certificate"": 10, ""Graduate"": 48, ""Postgraduate+"": 20, ""Secondary"": 18}","{""rural"": 56, ""urban"": 44}","[{""name"": ""NCO 2004 group title"", ""type"": ""official-taxonomy"", ""status"": ""seeded""}, {""name"": ""PLFS 2023-24 aggregate placeholder"", ""type"": ""official-labour-stats"", ""status"": ""approximation""}, {""name"": ""NCS vacancy proxy placeholder"", ""type"": ""demand-proxy"", ""status"": ""approximation""}]",seed-demo,seed-demo,https://www.ncs.gov.in/Pages/Search.aspx
Business Professionals,241-business-professionals,India,business,241,241,8800000,1.99,47000,564000,approximation,approximation,8600,76,approximation,"{""Below secondary"": 2, ""Diploma/Certificate"": 12, ""Graduate"": 54, ""Postgraduate+"": 22, ""Secondary"": 10}","{""rural"": 18, ""urban"": 82}","[{""name"": ""NCO 2004 group title"", ""type"": ""official-taxonomy"", ""status"": ""seeded""}, {""name"": ""PLFS 2023-24 aggregate placeholder"", ""type"": ""official-labour-stats"", ""status"": ""approximation""}, {""name"": ""NCS vacancy proxy placeholder"", ""type"": ""demand-proxy"", ""status"": ""approximation""}]",seed-demo,seed-demo,https://www.ncs.gov.in/Pages/Search.aspx
Computer Associate Professionals,312-computer-associate-professionals,India,digital,312,351,1700000,0.39,36000,432000,approximation,approximation,3900,82,approximation,"{""Below secondary"": 12, ""Diploma/Certificate"": 16, ""Graduate"": 30, ""Postgraduate+"": 8, ""Secondary"": 34}","{""rural"": 18, ""urban"": 82}","[{""name"": ""NCO 2004 group title"", ""type"": ""official-taxonomy"", ""status"": ""seeded""}, {""name"": ""PLFS 2023-24 aggregate placeholder"", ""type"": ""official-labour-stats"", ""status"": ""approximation""}, {""name"": ""NCS vacancy proxy placeholder"", ""type"": ""demand-proxy"", ""status"": ""approximation""}]",seed-demo,seed-demo,https://www.ncs.gov.in/Pages/Search.aspx
Secretaries and Keyboard-Operating Clerks,411-secretaries-and-keyboard-operating-clerks,India,clerical,411,412,5900000,1.34,22000,264000,approximation,approximation,3100,44,approximation,"{""Below secondary"": 12, ""Diploma/Certificate"": 16, ""Graduate"": 30, ""Postgraduate+"": 8, ""Secondary"": 34}","{""rural"": 18, ""urban"": 82}","[{""name"": ""NCO 2004 group title"", ""type"": ""official-taxonomy"", ""status"": ""seeded""}, {""name"": ""PLFS 2023-24 aggregate placeholder"", ""type"": ""official-labour-stats"", ""status"": ""approximation""}, {""name"": ""NCS vacancy proxy placeholder"", ""type"": ""demand-proxy"", ""status"": ""approximation""}]",seed-demo,seed-demo,https://www.ncs.gov.in/Pages/Search.aspx
